id_ponto	category	TITULO
284	Oriente	Pai Francisco
285	Pretos	PRETOS VELHOS
286	Pretos	Nego Juca
287	Pretos	Pai Bastião
288	Pretos	A estrela clareou o céu
289	Pretos	Umbanda tem fundamento
290	Pretos	Lá no alto da serra
291	Pretos	Repenica
292	Pretos	Preto velho pequenino
293	Pretos	Preto-Velho senta no toco
294	Pretos	Oi saravá os pretos velhos agora
295	Pretos	Xangô, Xangô
296	Pretos	Pai João e Mãe Maria
297	Pretos	Quê-querê quê quê
298	Pretos	Vovó não quer casca de côco no terreiro
299	Pretos	Eu vi no céu uma estrela correndo
300	Pretos	Mãe Preta
301	Pretos	Pele castigada, carapinha branca
302	Pretos	Pai Cipriano
303	Pretos	Pai José
304	Pretos	Pai José vem cá
305	Pretos	Mãe Maria cadê Pai José
306	Pretos	Salve Deus e os caboclos de Aruanda
307	Pretos	Quem quiser ver, que veja, auê
308	Pretos	Embala ê babá, embala ê
309	Pretos	Pai Jorge
310	Pretos	Pai Sebastião
311	Pretos	Rei Congo
312	Pretos	Ponto 312
313	Pretos	Pinto piou lá em Angola
314	Pretos	Ele é Rei Congo
315	Pretos	Pai Joaquim
316	Pretos	Pai Joaquim lá de angola
317	Pretos	Pai Joaquim já vem
318	Pretos	Quem quiser ver, que veja
319	Pretos	Pai João
320	Pretos	Pai João de Aruanda
321	Pretos	Vovó Rita
322	Pretos	Tia Maria
323	Pretos	Onde é que Tia Maria mora?
324	Pretos	Maria Conga
325	Pretos	Eu vou chamar a corrente do cipó
326	Pretos	A escravatura terminou
327	Pretos	Tumbeiro tumbeiro lembrança da escravidão
328	Pretos	Maria Conga é tão linda
329	Pretos	Maria Macambira
330	Pretos	Maria da Serra
331	Pretos	Maria Tomé
332	Pretos	Pai Miguel
333	Pretos	Ouvi o rufar dos tambores
334	Pretos	Pai Domingos
335	Pretos	Pai Domingos, cadê Pai Domingos
336	Pretos	Pai Tião
337	Pretos	Pai Jerônimo
338	Pretos	Lá do céu desceu uma estrela
339	Pretos	Foi a fé em Oxalá que nos uniu
340	Pretos	Estava na Aruanda
341	Pretos	NEGA MINA
342	Pretos	Preta-Velha
343	Pretos	Tem mironga no conguê
344	Pretos	Oh Preta-Velha você não engana
345	Pretos	Tio Antonio
346	Pretos	Baiana
347	Pretos	A baiana chegou da Bahia
348	Pretos	Povo de Congo
349	Pretos	Pai Belarmino
350	Pretos	Mãe Maria da Estrada
351	Pretos	Pai Bento
352	Pretos	Pai Bento, Pai Bento
353	Pretos	A fumaça do cachimbo do Pai Bento
354	Pretos	Pai Benedito
355	Pretos	Benedito, Pai Benedito
356	Pretos	Aí vem chegando Mãe Maria Benedita
357	Pretos	Pai Jobim
358	Pretos	Pai Tomé
359	Pretos	Cachimba
360	Pretos	Minha cachimba tá no toco
361	Outros	DIVERSOS
362	Outros	Defumação
363	Outros	Corre ronda Pai Ogum
364	Outros	Defuma com as ervas da Jurema
365	Outros	Olorum
366	Outros	Ponto de Partida
367	Outros	Vamos embora não fica ninguém
368	Outros	Saudação aos guias
369	Outros	Quem vem, quem vem lá de tão longe
370	Outros	Deus vos salve a casa santa
371	Outros	Tambor, tambor
372	Outros	CHAMADA DE CABOCLOS
373	Outros	HINO DO TEMPLO LUZ NO CAMINHO
374	Outros	HINO DA TURMA CACIQUE TREME-TERRA
375	Outros	Abertura dos caminhos
376	Outros	Abertura
377	Outros	Jesus, Maria, São João e São José
378	Outros	Deus que salve os nossos guias
379	Outros	Encerramento
380	Outros	Santo Antônio do mundo novo
381	Outros	Santo Antonio de Pemba
382	Outros	Pontos de Retirada
383	Outros	Ele vai, ele vai
384	Outros	MACÁIA
385	Outros	Lá na Aruanda, estão lhe chamando
386	Outros	Lá na Aruanda, estão lhe chamando
387	Outros	Caboclo pega suas armas
388	Outros	Caboclo trabalhou
389	Outros	Os Pretos Velhos vão embora
390	Outros	Caboclos já trabalharam
391	Outros	Caboclo já vai
392	Outros	Natal na Umbanda
393	Outros	Coroação de Cacique
394	Outros	Antigo Hino de Natal da Umbanda
395	Outros	Reforço
396	Outros	Consagração
397	Outros	Pedido e agradecimento especial por saúde espiritual
398	Outros	Advertência
399	Outros	Exaltação
400	Outros	Aniversário
401	Outros	Hino dos Orixás
402	Outros	Ponto da Amizade
